Student_ID,Python,Statistics,Machine_Learning,Deep_Learning,Database,Data_Visualization
DS0001,75.0,54,81,84,41,50
DS0002,77.0,57,76,56,83,69
DS0003,76.0,76,100,64,62,58
DS0004,60.0,73,72,73,83,73
DS0005,66.0,92,57,85,45,65
DS0006,69.09009009009009,53,56,77,72,80
DS0007,52.0,77,63,70,77,77
DS0008,76.0,56,64,89,65,81
DS0009,61.0,48,71,62,73,70
DS0010,92.0,52,60,56,64,49
DS0011,76.0,55,38,74,58,64
DS0012,69.0,97,72,85,63,52
DS0013,68.0,69,60,77,63,52
DS0014,64.0,87,76,93,73,52
DS0015,80.0,64,70,68,75,91
DS0016,84.0,50,70,63,65,85
DS0017,71.0,73,100,98,57,66
DS0018,54.0,62,57,69,44,48
DS0019,96.0,55,66,82,77,64
DS0020,72.0,75,71,70,59,75
DS0021,74.0,77,44,84,77,53
DS0022,32.0,66,73,74,64,44
DS0023,90.0,79,96,88,77,96
DS0024,67.0,88,81,97,81,46
DS0025,52.0,60,75,87,79,36
DS0026,92.0,76,83,61,82,86
DS0027,54.0,68,92,59,58,73
DS0028,40.0,94,63,72,90,46
DS0029,71.0,63,77,81,72,81
DS0030,66.0,68,82,40,51,48
DS0031,90.0,71,57,61,48,57
DS0032,43.0,84,61,62,54,60
DS0033,65.0,87,76,68,75,99
DS0034,57.0,46,39,53,63,66
DS0035,65.0,86,53,70,100,73
DS0036,80.0,86,75,66,77,65
DS0037,47.0,26,62,100,77,62
DS0038,60.0,83,94,55,57,90
DS0039,56.0,63,77,47,80,62
DS0040,68.0,73,55,81,80,76
DS0041,57.0,69,75,71,59,84
DS0042,57.0,73,48,90,89,66
DS0043,57.0,74,94,52,74,97
DS0044,43.0,78,61,89,61,60
DS0045,77.0,58,51,81,74,61
DS0046,90.0,54,34,94,100,64
DS0047,80.0,100,73,65,68,79
DS0048,53.0,79,75,57,73,88
DS0049,77.0,62,32,82,74,59
DS0050,79.0,89,62,63,63,82
DS0051,58.0,35,56,56,67,87
DS0052,80.0,70,81,54,70,67
DS0053,48.0,56,92,74,82,53
DS0054,82.0,46,36,85,88,55
DS0055,66.0,55,100,97,87,56
DS0056,43.0,71,62,51,95,96
DS0057,50.0,69,69,97,83,70
DS0058,76.0,43,68,85,86,85
DS0059,51.0,65,73,67,61,74
DS0060,92.0,53,38,42,70,70
DS0061,57.0,65,91,98,65,99
DS0062,85.0,65,63,84,70,74
DS0063,71.0,60,82,50,64,61
DS0064,67.0,68,70,73,84,53
DS0065,62.0,64,71,65,86,60
DS0066,100.0,67,51,71,54,59
DS0067,42.0,65,57,72,61,68
DS0068,95.0,75,79,53,69,84
DS0069,26.0,76,25,44,77,77
DS0070,72.0,55,68,69,50,66
DS0071,54.0,87,64,49,77,77
DS0072,63.0,83,92,97,90,68
DS0073,80.0,70,75,80,64,81
DS0074,66.0,65,79,75,75,76
DS0075,73.0,62,77,62,70,85
DS0076,57.0,62,78,56,77,51
DS0077,77.0,68,92,63,87,60
DS0078,46.0,56,73,90,100,61
DS0079,47.0,80,66,61,70,82
DS0080,87.0,79,79,78,54,81
DS0081,72.0,71,87,65,75,55
DS0082,66.0,39,57,66,60,91
DS0083,40.0,62,70,80,77,64
DS0084,70.0,92,33,49,52,65
DS0085,53.0,41,68,55,69,46
DS0086,70.0,49,65,75,79,68
DS0087,92.0,54,50,63,76,68
DS0088,67.0,59,30,49,43,36
DS0089,81.0,61,78,78,62,53
DS0090,79.0,93,89,55,95,62
DS0091,58.0,75,59,61,82,69
DS0092,57.0,80,80,79,93,92
DS0093,88.0,37,40,82,71,74
DS0094,74.0,83,46,60,53,56
DS0095,88.0,28,65,52,82,60
DS0096,62.0,70,47,73,85,74
DS0097,98.0,77,80,100,67,58
DS0098,68.0,66,78,51,75,99
DS0099,83.0,64,76,53,90,89
DS0100,73.0,74,92,88,27,65
DS0101,92.0,62,77,42,98,79
DS0102,80.0,74,80,70,78,64
DS0103,70.0,67,67,76,91,73
DS0104,45.0,74,69,63,26,51
DS0105,93.0,65,61,65,78,68
DS0106,59.0,57,77,85,71,51
DS0107,68.0,100,48,64,96,77
DS0108,73.0,61,70,61,54,65
DS0109,75.0,67,77,38,69,100
DS0110,90.0,65,41,51,29,66
DS0111,75.0,85,53,100,56,81
DS0112,66.0,43,58,78,76,46
DS0113,68.0,64,72,58,53,56
DS0114,70.0,48,51,70,85,37
DS0115,84.0,55,63,49,49,67
DS0116,87.0,89,49,65,90,78
DS0117,78.0,100,43,75,59,79
DS0118,86.0,52,58,72,70,74
DS0119,80.0,48,71,68,88,67
DS0120,44.0,81,72,100,53,68
DS0121,46.0,72,77,67,46,85
DS0122,80.0,62,74,68,83,62
DS0123,44.0,73,53,63,72,35
DS0124,80.0,68,55,72,61,62
DS0125,56.0,62,71,71,69,70
DS0126,64.0,92,78,50,80,58
DS0127,86.0,79,96,100,55,71
DS0128,56.0,100,63,71,51,96
DS0129,33.0,55,80,88,87,46
DS0130,65.0,68,62,63,69,77
DS0131,41.0,40,74,70,73,63
DS0132,57.0,80,83,93,57,67
DS0133,92.0,56,61,70,83,48
DS0134,66.0,80,77,60,67,86
DS0135,67.0,80,64,74,83,62
DS0136,81.0,91,63,72,40,74
DS0137,66.0,61,47,77,63,54
DS0138,63.0,77,58,78,78,26
DS0139,41.0,87,69,52,61,55
DS0140,70.0,53,60,58,51,71
DS0141,71.0,74,43,60,73,55
DS0142,59.0,77,74,69,64,82
DS0143,94.0,77,73,62,70,66
DS0144,73.0,84,71,76,75,69
DS0145,69.0,53,88,79,51,97
DS0146,77.0,70,58,72,69,50
DS0147,64.0,72,81,63,85,55
DS0148,77.0,72,53,82,52,87
DS0149,48.0,96,74,76,65,67
DS0150,71.0,51,69,71,38,56
DS0151,61.0,77,73,79,72,82
DS0152,59.0,82,66,62,91,54
DS0153,71.0,72,73,82,78,71
DS0154,71.0,100,64,75,58,65
DS0155,59.0,60,56,84,65,72
DS0156,80.0,59,62,56,90,80
DS0157,66.0,52,75,71,77,78
DS0158,68.0,63,100,78,81,56
DS0159,62.0,67,71,79,86,66
DS0160,57.0,70,70,69,60,48
DS0161,100.0,74,77,54,51,94
DS0162,49.0,84,77,61,46,59
DS0163,75.0,74,86,78,34,58
DS0164,76.0,54,79,84,72,25
DS0165,77.0,75,80,100,85,46
DS0166,62.0,65,63,57,29,63
DS0167,91.0,71,77,75,66,76
DS0168,37.0,92,73,85,56,47
DS0169,92.0,67,39,67,82,55
DS0170,52.0,37,72,75,88,94
DS0171,57.0,82,53,66,68,94
DS0172,47.0,62,80,61,46,80
DS0173,63.0,67,60,79,63,85
DS0174,34.0,62,56,94,44,48
DS0175,93.0,63,72,87,100,61
DS0176,55.0,74,85,68,71,79
DS0177,62.0,64,78,58,64,71
DS0178,59.0,58,63,90,80,70
DS0179,81.0,66,97,57,73,69
DS0180,81.0,59,86,100,68,37
DS0181,93.0,75,84,65,61,96
DS0182,67.0,97,67,43,98,80
DS0183,67.0,86,57,46,79,79
DS0184,44.0,77,45,68,63,39
DS0185,90.0,95,87,56,73,77
DS0186,58.0,56,89,91,55,85
DS0187,58.0,100,77,81,46,58
DS0188,88.0,57,55,67,82,50
DS0189,58.0,95,60,60,93,73
DS0190,69.0,70,87,88,65,67
DS0191,95.0,62,74,100,54,42
DS0192,55.0,59,65,49,64,72
DS0193,66.0,75,93,78,43,77
DS0194,89.0,41,51,55,69,65
DS0195,83.0,88,73,67,76,27
DS0196,72.0,72,86,54,73,89
DS0197,52.0,50,96,63,70,64
DS0198,85.0,87,86,63,67,81
DS0199,81.0,83,60,46,62,83
DS0200,66.0,68,64,100,78,63
DS0201,70.0,69,61,63,92,68
DS0202,66.0,85,83,55,57,72
DS0203,70.0,62,48,82,81,83
DS0204,45.0,100,56,85,85,55
DS0205,79.0,81,60,54,61,61
DS0206,69.0,72,65,57,48,79
DS0207,42.0,60,54,42,72,36
DS0208,70.0,75,78,72,64,65
DS0209,57.0,82,62,49,85,62
DS0210,70.0,36,75,99,94,97
DS0211,82.0,74,50,65,59,83
DS0212,95.0,89,70,66,68,73
DS0213,38.0,55,78,72,73,99
DS0214,100.0,70,85,69,70,61
DS0215,69.0,93,67,74,50,63
DS0216,63.0,59,52,100,82,65
DS0217,66.0,81,100,65,64,72
DS0218,76.0,59,67,70,81,50
DS0219,72.0,69,57,69,89,68
DS0220,85.0,56,56,69,63,53
DS0221,66.0,70,74,77,100,57
DS0222,51.0,86,63,53,73,62
DS0223,84.0,58,97,53,90,60
DS0224,81.0,72,51,58,74,88
DS0225,75.0,73,80,78,74,78
DS0226,62.0,53,89,86,78,100
DS0227,68.0,97,74,74,56,76
DS0228,78.0,78,80,60,75,57
DS0229,44.0,83,73,79,76,55
DS0230,50.0,49,58,71,52,68
DS0231,87.0,76,65,77,75,85
DS0232,88.0,100,85,91,71,45
DS0233,93.0,54,83,63,78,86
DS0234,75.0,57,50,83,73,87
DS0235,65.0,72,54,75,94,63
DS0236,64.0,41,53,84,38,59
DS0237,86.0,64,55,67,74,63
DS0238,100.0,84,85,100,78,77
DS0239,83.0,68,60,87,82,46
DS0240,66.0,70,69,42,64,71
DS0241,82.0,48,67,74,73,78
DS0242,62.0,55,72,69,36,73
DS0243,47.0,48,61,70,61,79
DS0244,76.0,70,62,47,62,54
DS0245,63.0,76,82,59,86,47
DS0246,40.0,72,65,53,71,72
DS0247,76.0,76,78,98,82,46
DS0248,99.0,100,71,71,64,87
DS0249,81.0,92,57,74,56,67
DS0250,42.0,91,84,47,65,86
DS0251,83.0,85,90,83,86,81
DS0252,69.0,85,86,67,79,66
DS0253,54.0,78,49,61,86,75
DS0254,46.0,56,94,76,50,47
DS0255,65.0,83,58,73,75,68
DS0256,52.0,86,44,84,66,67
DS0257,95.0,81,52,77,83,81
DS0258,78.0,50,80,100,71,69
DS0259,97.0,77,64,100,64,61
DS0260,45.0,92,82,69,80,59
DS0261,75.0,66,75,61,57,86
DS0262,60.0,68,67,51,66,90
DS0263,91.0,64,91,71,91,74
DS0264,70.0,76,64,75,67,46
DS0265,50.0,100,54,79,60,71
DS0266,100.0,90,81,69,41,50
DS0267,59.0,58,78,67,67,79
DS0268,82.0,77,77,74,71,80
DS0269,59.0,81,100,64,71,63
DS0270,100.0,64,45,83,59,89
DS0271,76.0,43,63,81,75,79
DS0272,76.0,78,86,56,56,77
DS0273,65.0,71,97,63,63,93
DS0274,65.0,59,67,75,85,31
DS0275,87.0,59,69,73,93,65
DS0276,74.0,53,55,100,67,58
DS0277,74.0,98,71,35,69,100
DS0278,53.0,70,64,76,52,81
DS0279,70.0,55,63,52,51,76
DS0280,59.0,71,55,64,66,59
DS0281,60.0,75,80,80,47,67
DS0282,63.0,50,36,66,65,60
DS0283,82.0,49,48,59,54,81
DS0284,72.0,65,57,81,89,69
DS0285,70.0,40,59,85,61,58
DS0286,61.0,54,47,73,74,96
DS0287,65.0,49,58,61,53,77
DS0288,85.0,66,60,51,74,83
DS0289,75.0,74,80,96,73,68
DS0290,57.0,56,60,80,67,73
