Student_ID,Name,Gender,Department,Year,Semester,Age,Attendance,Python,Statistics,Machine_Learning,Deep_Learning,Database,Data_Visualization,Assignment_Score,Internal_Marks,Project_Marks,Study_Hours,Placement_Status,Total_Marks,Percentage,Grade,GPA,Rank,Attendance_Status,At_Risk,Risk_Score,Risk_Category
DS0001,Student_0001,Other,Information Technology,2,4,22,69.76,75.0,54,81,84,41,50,88,83,75,23.9,Placed,385.0,64.16666666666667,C,7.0,121,Warning,True,2,Medium Risk
DS0002,Student_0002,Male,Information Technology,2,2,20,78.15,77.0,57,76,56,83,69,68,66,82,18.6,Internship,418.0,69.66666666666667,C,7.0,87,Good,False,0,Safe
DS0003,Student_0003,Male,Computer Science,2,1,22,69.92,76.0,76,100,64,62,58,62,81,86,19.8,Placed,436.0,72.66666666666667,B,8.0,69,Warning,True,1,Low Risk
DS0004,Student_0004,Other,Data Science,2,1,23,87.58,60.0,73,72,73,83,73,53,67,67,11.5,Internship,434.0,72.33333333333334,B,8.0,71,Excellent,False,0,Safe
DS0005,Student_0005,Female,Artificial Intelligence,2,3,20,89.52,66.0,92,57,85,45,65,69,65,87,14.7,Not Placed,410.0,68.33333333333333,C,7.0,95,Excellent,True,1,Low Risk
DS0006,Student_0006,Male,Artificial Intelligence,2,4,24,76.29,69.09009009009009,53,56,77,72,80,81,62,69,13.3,Not Placed,407.0900900900901,67.84834834834835,C,7.0,98,Good,False,0,Safe
DS0007,Student_0007,Female,Computer Science,1,2,21,79.04,52.0,77,63,70,77,77,49,50,55,9.0,Placed,416.0,69.33333333333334,C,7.0,89,Good,True,1,Low Risk
DS0008,Student_0008,Other,Computer Science,2,2,20,75.93,76.0,56,64,89,65,81,87,46,81,17.7,Placed,431.0,71.83333333333334,B,8.0,74,Good,False,0,Safe
DS0009,Student_0009,Male,Artificial Intelligence,1,3,23,82.15,61.0,48,71,62,73,70,78,92,87,18.5,Placed,385.0,64.16666666666667,C,7.0,121,Good,True,1,Low Risk
DS0010,Student_0010,Female,Artificial Intelligence,1,1,20,67.81,92.0,52,60,56,64,49,79,84,100,36.4,Internship,373.0,62.16666666666667,C,7.0,133,Warning,True,2,Medium Risk
DS0011,Student_0011,Other,Computer Science,1,1,21,81.88,76.0,55,38,74,58,64,72,56,49,12.6,Internship,365.0,60.83333333333333,C,7.0,141,Good,True,1,Low Risk
DS0012,Student_0012,Male,Data Science,1,3,22,70.14,69.0,97,72,85,63,52,87,58,88,18.7,Not Placed,438.0,73.0,B,8.0,67,Warning,True,1,Low Risk
DS0013,Student_0013,Other,Information Technology,1,4,20,79.70073073073073,68.0,69,60,77,63,52,73,76,94,17.5,Internship,389.0,64.83333333333333,C,7.0,117,Good,False,0,Safe
DS0014,Student_0014,Other,Data Science,1,1,20,77.85,64.0,87,76,93,73,52,69,93,58,9.7,Internship,445.0,74.16666666666667,B,8.0,60,Good,True,1,Low Risk
DS0015,Student_0015,Male,Data Science,1,3,24,79.42,80.0,64,70,68,75,91,62,53,61,13.7,Placed,448.0,74.66666666666667,B,8.0,57,Good,False,0,Safe
DS0016,Student_0016,Female,Artificial Intelligence,1,4,22,71.65,84.0,50,70,63,65,85,71,75,77,8.4,Placed,417.0,69.5,C,7.0,88,Warning,True,2,Medium Risk
DS0017,Student_0017,Female,Computer Science,2,4,24,94.47,71.0,73,100,98,57,66,64,62,42,14.9,Placed,465.0,77.5,B,8.0,40,Excellent,False,0,Safe
DS0018,Student_0018,Female,Data Science,1,1,24,100.0,54.0,62,57,69,44,48,100,54,69,18.4,Internship,334.0,55.666666666666664,D,6.0,165,Excellent,True,1,Low Risk
DS0019,Student_0019,Female,Data Science,1,1,22,76.8,96.0,55,66,82,77,64,78,63,82,23.1,Placed,440.0,73.33333333333333,B,8.0,65,Good,False,0,Safe
DS0020,Student_0020,Female,Data Science,2,1,21,98.88,72.0,75,71,70,59,75,80,60,58,24.3,Placed,422.0,70.33333333333334,B,8.0,83,Excellent,False,0,Safe
DS0021,Student_0021,Male,Information Technology,2,4,23,76.49,74.0,77,44,84,77,53,73,68,77,16.08168168168168,Not Placed,409.0,68.16666666666666,C,7.0,96,Good,True,1,Low Risk
DS0022,Student_0022,Male,Computer Science,2,1,21,90.37,32.0,66,73,74,64,44,70,71,59,13.7,Not Placed,353.0,58.833333333333336,D,6.0,151,Excellent,True,1,Low Risk
DS0023,Student_0023,Female,Artificial Intelligence,1,4,22,80.8,90.0,79,96,88,77,96,64,86,57,21.5,Not Placed,526.0,87.66666666666667,A,9.0,3,Good,False,0,Safe
DS0024,Student_0024,Other,Data Science,2,4,20,98.13,67.0,88,81,97,81,46,84,61,59,16.2,Internship,460.0,76.66666666666667,B,8.0,45,Excellent,True,1,Low Risk
DS0025,Student_0025,Other,Artificial Intelligence,2,4,24,99.39,52.0,60,75,87,79,36,44,63,83,4.9,Internship,389.0,64.83333333333333,C,7.0,117,Excellent,True,2,Medium Risk
DS0026,Student_0026,Other,Information Technology,2,4,23,69.64,92.0,76,83,61,82,86,72,69,80,23.0,Placed,480.0,80.0,A,9.0,25,Warning,True,1,Low Risk
DS0027,Student_0027,Female,Computer Science,1,2,23,90.28,54.0,68,92,59,58,73,87,80,100,14.6,Internship,404.0,67.33333333333333,C,7.0,102,Excellent,False,0,Safe
DS0028,Student_0028,Female,Computer Science,2,2,21,85.28,40.0,94,63,72,90,46,82,76,53,2.0,Not Placed,405.0,67.5,C,7.0,101,Excellent,True,2,Medium Risk
DS0029,Student_0029,Other,Information Technology,2,1,21,77.84,71.0,63,77,81,72,81,77,84,69,19.6,Placed,445.0,74.16666666666667,B,8.0,60,Good,False,0,Safe
DS0030,Student_0030,Male,Information Technology,1,1,23,76.58,66.0,68,82,40,51,48,77,88,94,15.5,Internship,355.0,59.166666666666664,D,6.0,149,Good,True,1,Low Risk
DS0031,Student_0031,Male,Computer Science,1,3,22,63.41,90.0,71,57,61,48,57,80,56,82,15.1,Internship,384.0,64.0,C,7.0,122,Critical,True,2,Medium Risk
DS0032,Student_0032,Female,Information Technology,1,3,24,84.34,43.0,84,61,62,54,60,94,66,52,23.5,Not Placed,364.0,60.66666666666667,C,7.0,142,Good,True,1,Low Risk
DS0033,Student_0033,Male,Data Science,2,1,24,92.91,65.0,87,76,68,75,99,62,76,74,18.2,Placed,470.0,78.33333333333333,B,8.0,35,Excellent,False,0,Safe
DS0034,Student_0034,Female,Computer Science,1,1,20,84.17,57.0,46,39,53,63,66,68,67,77,20.3,Not Placed,324.0,54.0,D,6.0,169,Good,True,1,Low Risk
DS0035,Student_0035,Other,Artificial Intelligence,2,4,20,79.32,65.0,86,53,70,100,73,72,60,81,10.0,Internship,447.0,74.5,B,8.0,58,Good,False,0,Safe
DS0036,Student_0036,Other,Computer Science,1,3,24,56.11,80.0,86,75,66,77,65,52,92,88,11.0,Placed,449.0,74.83333333333333,B,8.0,56,Critical,True,1,Low Risk
DS0037,Student_0037,Other,Artificial Intelligence,1,3,23,81.19,47.0,26,62,100,77,62,73,83,80,20.7,Not Placed,374.0,62.33333333333333,C,7.0,132,Good,True,1,Low Risk
DS0038,Student_0038,Female,Data Science,2,2,24,97.46,60.0,83,94,55,57,90,76,75,98,13.5,Not Placed,439.0,73.16666666666667,B,8.0,66,Excellent,False,0,Safe
DS0039,Student_0039,Other,Artificial Intelligence,2,2,20,59.76,56.0,63,77,47,80,62,62,75,72,14.2,Placed,385.0,64.16666666666667,C,7.0,121,Critical,True,2,Medium Risk
DS0040,Student_0040,Male,Computer Science,2,4,23,78.95,68.0,73,55,81,80,76,70,60,59,7.3,Internship,433.0,72.16666666666667,B,8.0,72,Good,True,1,Low Risk
DS0041,Student_0041,Male,Data Science,1,1,23,86.58,57.0,69,75,71,59,84,77,50,73,17.8,Internship,415.0,69.16666666666667,C,7.0,90,Excellent,False,0,Safe
DS0042,Student_0042,Female,Information Technology,2,3,21,76.47,57.0,73,48,90,89,66,58,82,100,7.8,Internship,423.0,70.5,B,8.0,82,Good,True,2,Medium Risk
DS0043,Student_0043,Other,Artificial Intelligence,2,2,20,64.63,57.0,74,94,52,74,97,68,64,87,17.7,Placed,448.0,74.66666666666667,B,8.0,57,Critical,True,1,Low Risk
